Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
211040,Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
211060,Etna,Italy,Mediterranean and Western Asia,Stratovolcano(es),Eruption Observed,2016,37.734,15.004000000000001,3330,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
221010,"Tair, Jebel at",Yemen,Africa and Red Sea,Stratovolcano,Eruption Observed,2008,15.55,41.83,244,Trachybasalt / Tephrite Basanite,Rift Zone / Oceanic Crust (< 15 km)
221020,Zubair Group,Yemen,Africa and Red Sea,Shield,Eruption Observed,2013,15.05,42.18,191,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
221041,Dallol,Ethiopia,Africa and Red Sea,Explosion crater(s),Eruption Observed,2011,14.242,40.3,-48,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
221060,Alu-Dalafilla,Ethiopia,Africa and Red Sea,Fissure vent(s),Eruption Observed,2008,13.793,40.553000000000004,578,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
221080,Erta Ale,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,2016,13.6,40.67,613,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
221101,Nabro,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,2012,13.37,41.7,2218,Trachyte / Trachydacite,Rift Zone / Intermediate Crust (15-25 km)
221113,Dabbahu,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,2005,12.595,40.48,1401,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
221115,Manda Hararo,Ethiopia,Africa and Red Sea,Shield(s),Eruption Observed,2009,12.17,40.82,600,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
221126,Ardoukoba,Djibouti,Africa and Red Sea,Fissure vent(s),Eruption Observed,1978,11.58,42.47,298,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
222120,"Lengai, Ol Doinyo",Tanzania,Africa and Red Sea,Stratovolcano,Eruption Observed,2013,-2.764,35.914,2962,Foidite,Rift Zone / Continental Crust (>25 km)
223020,Nyamuragira,DR Congo,Africa and Red Sea,Shield,Eruption Observed,2015,-1.4080000000000001,29.2,3058,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
223030,Nyiragongo,DR Congo,Africa and Red Sea,Stratovolcano,Eruption Observed,2016,-1.52,29.25,3470,Foidite,Rift Zone / Continental Crust (>25 km)
224010,Cameroon,Cameroon,Africa and Red Sea,Stratovolcano,Eruption Observed,2000,4.203,9.17,4095,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
233010,Karthala,Comoros,Middle East and Indian Ocean,Shield,Eruption Observed,2007,-11.75,43.38,2361,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
233020,"Fournaise, Piton de la",France,Middle East and Indian Ocean,Shield,Eruption Observed,2016,-21.244,55.708,2632,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
234000,Boomerang Seamount,France,Middle East and Indian Ocean,Submarine,Eruption Dated,1995,-37.721,77.825,-650,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
